order_date,region,country,product_category,product_name,revenue,cost,shipping_cost,material_cost
2025-12-14,Asia Pacific,Japan,Technology,Cloud Server,6816.83,2892.23,459.5,2432.73
2024-06-27,Asia Pacific,Singapore,Furniture,Executive Desk,3386.81,1357.49,234.67,1122.82
2025-09-13,Asia Pacific,Singapore,Office Supplies,Desk Organizer,6918.46,3088.14,482.13,2606.02
2024-06-22,Europe,United Kingdom,Furniture,Ergonomic Chair,1387.18,672.15,57.91,614.24
2024-11-13,North America,United States,Technology,Laptop Pro,939.03,477.17,56.87,420.3
2024-03-15,South America,Argentina,Furniture,Conference Table,7324.29,2985.23,366.09,2619.14
2024-05-31,Europe,Germany,Office Supplies,Office Chair,2170.92,1084.58,121.35,963.23
2024-02-21,North America,United States,Office Supplies,Office Chair,8113.46,3890.66,644.17,3246.49
2025-09-01,Asia Pacific,Singapore,Furniture,Storage Cabinet,8390.41,3834.76,628.11,3206.65
2025-05-01,South America,Argentina,Technology,Business Tablet,7775.23,3417.47,476.91,2940.55
2024-10-08,South America,Brazil,Furniture,Ergonomic Chair,2727.69,1159.35,203.63,955.72
2024-03-23,North America,United States,Technology,Cloud Server,7092.52,3114.85,235.55,2879.3
2025-02-21,Asia Pacific,Singapore,Office Supplies,Premium Paper,2464.93,1080.29,185.47,894.82
2025-08-21,Europe,Spain,Office Supplies,Desk Organizer,556.01,233.77,37.63,196.14
2025-03-05,North America,Canada,Technology,Business Tablet,4640.44,1629.54,217.2,1412.34
2025-11-26,South America,Chile,Technology,Cloud Server,9235.65,4653.05,523.72,4129.34
2025-02-07,Europe,Germany,Furniture,Storage Cabinet,1789.15,718.83,58.17,660.65
2025-01-23,Asia Pacific,Japan,Office Supplies,Printer,3706.26,1763.66,162.75,1600.9
2025-03-07,Asia Pacific,India,Office Supplies,Premium Paper,7615.73,2935.17,590.95,2344.22
2024-08-17,Europe,Germany,Technology,Smartphone X,2393.93,815.55,90.06,725.5
2024-05-09,South America,Chile,Technology,Smartphone X,4917.82,1902.61,238.24,1664.37
2025-09-12,Europe,France,Office Supplies,Premium Paper,5997.5,2987.49,352.59,2634.9
2025-01-19,South America,Chile,Technology,Laptop Pro,6124.93,2858.68,258.12,2600.56
2025-12-14,Asia Pacific,India,Furniture,Executive Desk,3798.44,1567.94,184.33,1383.61
2025-06-02,Asia Pacific,India,Office Supplies,Desk Organizer,1502.62,760.17,92.83,667.34
2025-04-15,North America,Canada,Technology,Business Tablet,6351.17,3217.98,436.53,2781.45
2025-04-21,South America,Chile,Furniture,Ergonomic Chair,3561.89,1473.04,273.31,1199.73
2024-10-12,South America,Brazil,Office Supplies,Desk Organizer,3695.77,1553.69,170.93,1382.76
2025-05-14,North America,Canada,Office Supplies,Printer,3156.76,1462.93,233.62,1229.32
2025-07-23,Europe,Spain,Technology,Laptop Pro,2792.88,1169.44,161.31,1008.13
2024-09-03,South America,Chile,Furniture,Storage Cabinet,4757.66,1652.33,212.72,1439.6
2025-02-18,North America,Canada,Furniture,Ergonomic Chair,4995.97,2152.83,256.17,1896.66
2025-07-17,Asia Pacific,Australia,Furniture,Storage Cabinet,3073.71,1148.78,110.75,1038.02
2024-07-16,Asia Pacific,India,Furniture,Conference Table,2319.64,1054.54,101.66,952.89
2025-08-26,Asia Pacific,India,Technology,Business Tablet,2661.09,951.67,81.72,869.95
2025-06-30,North America,Canada,Technology,Laptop Pro,5756.91,2538.37,209.06,2329.32
2025-05-17,Europe,Germany,Furniture,Ergonomic Chair,4959.27,2009.94,194.49,1815.44
2024-02-22,Asia Pacific,Singapore,Technology,Laptop Pro,4306.72,1604.62,264.74,1339.87
2024-02-24,North America,United States,Furniture,Ergonomic Chair,1309.22,517.32,75.81,441.51
2025-03-02,North America,Mexico,Office Supplies,Desk Organizer,9130.79,3689.11,542.61,3146.5
2025-03-15,Asia Pacific,India,Furniture,Executive Desk,9502.11,3532.12,385.32,3146.8
2025-11-07,Europe,France,Technology,Smartphone X,5743.93,3889.4,736.34,3153.06
2024-02-03,North America,Canada,Furniture,Ergonomic Chair,7178.38,3104.46,462.07,2642.4
2024-09-27,North America,Canada,Technology,Smartphone X,6652.53,3376.78,474.54,2902.24
2024-03-14,Europe,France,Office Supplies,Printer,4671.96,1941.24,211.19,1730.05
2025-02-16,Asia Pacific,Singapore,Office Supplies,Premium Paper,6181.35,3091.54,412.46,2679.08
2025-09-10,Asia Pacific,India,Technology,Smartphone X,9638.16,4666.35,566.34,4100.01
2024-01-22,Asia Pacific,India,Technology,Cloud Server,5430.16,2227.68,238.43,1989.25
2025-08-22,South America,Chile,Office Supplies,Premium Paper,4965.1,2022.31,228.66,1793.65
2024-04-17,North America,Canada,Office Supplies,Desk Organizer,3238.07,1659.37,228.86,1430.51
2025-07-17,Europe,Italy,Technology,Business Tablet,2897.79,1118.59,198.87,919.72
2025-06-10,Europe,Spain,Office Supplies,Desk Organizer,1014.94,445.45,62.05,383.41
2025-05-25,South America,Brazil,Technology,Business Tablet,5717.59,2807.66,296.78,2510.88
2025-12-16,South America,Brazil,Technology,Smartphone X,7242.94,2732.73,222.24,2510.49
2025-02-21,Europe,France,Technology,Cloud Server,9497.08,4129.85,358.03,3771.83
2024-10-25,Asia Pacific,Singapore,Office Supplies,Desk Organizer,2815.44,1215.9,138.46,1077.44
2025-09-05,North America,United States,Office Supplies,Desk Organizer,3728.81,1720.91,161.68,1559.23
2024-01-03,Asia Pacific,Australia,Furniture,Storage Cabinet,8719.98,3672.85,472.77,3200.08
2024-12-06,South America,Argentina,Office Supplies,Office Chair,9817.36,3779.38,482.51,3296.87
2025-02-24,Europe,United Kingdom,Furniture,Storage Cabinet,7199.66,3391.15,354.97,3036.18
2025-11-10,North America,Canada,Technology,Smartphone X,5271.77,2435.62,387.4,2048.23
2025-03-26,Europe,Spain,Office Supplies,Premium Paper,7363.22,3123.74,461.96,2661.78
2024-06-07,Europe,Italy,Office Supplies,Printer,6420.96,2527.54,218.41,2309.12
2024-12-02,South America,Argentina,Furniture,Storage Cabinet,8787.64,2977.3,293.69,2683.61
2025-10-08,Asia Pacific,Japan,Furniture,Executive Desk,4622.73,1740.24,285.16,1455.08
2024-04-12,South America,Brazil,Furniture,Ergonomic Chair,9082.53,3421.44,634.03,2787.42
2024-10-27,Asia Pacific,Australia,Office Supplies,Office Chair,2819.88,1200.98,180.73,1020.25
2024-07-03,North America,United States,Technology,Cloud Server,6387.25,2630.05,483.14,2146.91
2024-05-26,North America,Canada,Furniture,Ergonomic Chair,4865.92,2311.17,364.68,1946.5
2025-04-21,Asia Pacific,Japan,Technology,Cloud Server,9479.74,4674.51,426.19,4248.32
2025-03-10,Asia Pacific,Singapore,Office Supplies,Office Chair,9994.05,4630.57,353.12,4277.46
2025-01-25,Asia Pacific,Australia,Furniture,Ergonomic Chair,708.43,336.01,35.27,300.73
2024-01-09,Europe,Spain,Furniture,Storage Cabinet,8411.97,4241.54,578.63,3662.91
2024-08-23,Asia Pacific,Japan,Furniture,Conference Table,6398.47,2992.64,422.6,2570.04
2025-11-06,North America,Mexico,Technology,Laptop Pro,3434.86,1460.17,202.58,1257.58
2024-05-14,Europe,United Kingdom,Office Supplies,Desk Organizer,2168.58,817.11,123.54,693.56
2025-01-09,Asia Pacific,Japan,Office Supplies,Desk Organizer,9690.15,4048.46,712.42,3336.04
2024-04-27,South America,Brazil,Technology,Smartphone X,8671.34,4228.4,685.01,3543.39
2025-07-24,Asia Pacific,India,Office Supplies,Premium Paper,3012.36,1105.44,145.89,959.55
2025-11-19,Asia Pacific,Singapore,Furniture,Ergonomic Chair,1529.29,560.22,47.79,512.42
2025-07-28,Asia Pacific,Japan,Furniture,Executive Desk,6536.34,2841.31,425.21,2416.09
2025-10-26,South America,Brazil,Technology,Laptop Pro,9489.48,3798.51,518.42,3280.08
2024-04-09,North America,Mexico,Technology,Cloud Server,4809.62,2249.6,323.0,1926.6
2025-07-07,South America,Chile,Furniture,Conference Table,8911.43,4187.69,638.81,3548.87
2025-09-22,South America,Argentina,Technology,Business Tablet,2564.06,1047.44,107.19,940.25
2025-01-06,Europe,United Kingdom,Furniture,Ergonomic Chair,1075.23,451.37,84.31,367.06
2025-04-10,Europe,France,Furniture,Executive Desk,980.5,421.09,77.89,343.2
2025-08-01,North America,United States,Furniture,Conference Table,6070.64,2814.4,252.84,2561.55
2024-05-31,Europe,United Kingdom,Technology,Smartphone X,5632.05,2564.12,199.92,2364.21
2024-01-27,North America,United States,Office Supplies,Office Chair,6094.1,2106.34,263.68,1842.66
2024-05-09,South America,Chile,Technology,Laptop Pro,5024.34,2373.32,279.66,2093.66
2024-04-21,South America,Chile,Technology,Laptop Pro,7408.81,3698.91,466.35,3232.56
2024-11-04,South America,Chile,Technology,Laptop Pro,9986.57,4777.66,512.45,4265.21
2024-04-20,South America,Chile,Office Supplies,Premium Paper,9043.03,3488.2,338.36,3149.84
2024-05-09,Asia Pacific,Australia,Office Supplies,Printer,4810.3,2048.1,168.16,1879.93
2025-12-19,Europe,Spain,Furniture,Conference Table,4585.66,3148.82,568.27,2580.54
2024-04-07,Asia Pacific,Singapore,Office Supplies,Printer,4055.86,1618.47,308.85,1309.62
2024-03-09,Europe,Germany,Technology,Cloud Server,1417.36,682.33,100.05,582.28
2025-07-23,Europe,Spain,Furniture,Ergonomic Chair,6865.13,2988.4,505.83,2482.58
2025-03-09,Europe,United Kingdom,Furniture,Ergonomic Chair,3840.64,1641.2,156.07,1485.13
2025-11-03,South America,Brazil,Technology,Business Tablet,8531.05,3610.89,581.22,3029.67
2025-08-10,North America,Canada,Furniture,Executive Desk,6285.45,2912.35,406.5,2505.85
2024-01-30,North America,Canada,Furniture,Ergonomic Chair,9254.61,3625.25,361.58,3263.67
2024-05-26,South America,Brazil,Technology,Laptop Pro,1371.7,587.61,66.95,520.66
2025-04-09,Asia Pacific,Japan,Office Supplies,Printer,7355.16,3493.0,429.39,3063.61
2024-03-27,Europe,France,Technology,Laptop Pro,6902.7,2788.09,435.54,2352.55
2025-05-12,South America,Argentina,Office Supplies,Office Chair,7671.96,2827.64,395.07,2432.57
2024-10-17,South America,Chile,Furniture,Ergonomic Chair,931.46,390.52,55.86,334.66
2024-01-08,North America,Canada,Technology,Smartphone X,7759.53,2944.09,279.34,2664.76
2025-05-24,South America,Brazil,Technology,Cloud Server,5559.53,2181.85,322.1,1859.76
2025-11-15,Asia Pacific,India,Office Supplies,Premium Paper,4644.09,1870.9,157.4,1713.5
2024-11-16,South America,Chile,Office Supplies,Desk Organizer,3250.39,1427.13,254.54,1172.59
2024-06-24,South America,Chile,Office Supplies,Premium Paper,4648.76,1709.18,240.73,1468.45
2025-02-14,Europe,Italy,Office Supplies,Printer,2604.93,1174.01,88.1,1085.91
2025-10-10,Europe,Spain,Furniture,Conference Table,9106.27,6472.71,1355.94,5116.77
2024-08-29,Europe,France,Office Supplies,Office Chair,2148.24,839.72,145.99,693.73
2024-03-18,North America,Mexico,Office Supplies,Desk Organizer,7667.24,3576.21,402.11,3174.1
2025-08-01,Asia Pacific,Australia,Technology,Cloud Server,1148.72,472.67,51.85,420.81
2024-10-08,Europe,United Kingdom,Furniture,Executive Desk,3448.87,1381.73,113.28,1268.45
2024-10-20,Europe,Germany,Furniture,Storage Cabinet,4895.76,2216.5,340.7,1875.8
2024-02-12,South America,Chile,Furniture,Conference Table,3554.5,1453.39,133.45,1319.94
2024-03-04,South America,Brazil,Office Supplies,Premium Paper,5293.22,1949.34,224.36,1724.97
2025-03-24,South America,Chile,Furniture,Conference Table,3957.03,1927.32,195.36,1731.95
2024-12-12,Europe,United Kingdom,Technology,Business Tablet,1397.81,623.37,61.79,561.58
2025-11-03,North America,Canada,Technology,Smartphone X,9209.09,3769.63,578.36,3191.27
2025-11-09,South America,Brazil,Furniture,Executive Desk,3441.03,1466.17,239.44,1226.73
2024-05-10,Europe,Italy,Furniture,Ergonomic Chair,673.19,285.36,52.21,233.15
2024-12-15,South America,Brazil,Technology,Smartphone X,1971.98,815.96,136.87,679.09
2025-06-03,Europe,United Kingdom,Furniture,Conference Table,6173.84,2236.04,241.04,1995.0
2025-12-10,North America,Mexico,Office Supplies,Premium Paper,4403.16,1952.06,184.39,1767.67
2025-03-30,Asia Pacific,Singapore,Technology,Smartphone X,3439.95,1633.1,183.87,1449.23
2024-07-17,Asia Pacific,Singapore,Office Supplies,Printer,7892.18,3364.98,401.97,2963.01
2024-06-14,North America,Mexico,Technology,Business Tablet,995.71,418.84,48.35,370.49
2024-04-15,Europe,United Kingdom,Technology,Smartphone X,3091.52,1462.79,115.52,1347.27
2025-03-23,Europe,France,Office Supplies,Printer,9339.48,3848.4,465.32,3383.08
2025-01-17,North America,Canada,Technology,Business Tablet,2633.12,1007.84,92.04,915.81
2025-10-27,Asia Pacific,Japan,Technology,Laptop Pro,3225.35,1578.06,209.01,1369.05
2024-05-22,South America,Argentina,Furniture,Executive Desk,9105.65,3129.0,371.35,2757.65
2024-06-02,South America,Brazil,Office Supplies,Office Chair,3360.94,1203.73,171.38,1032.35
2025-09-29,South America,Brazil,Technology,Cloud Server,6169.02,2209.95,344.04,1865.91
2024-09-04,North America,Canada,Office Supplies,Premium Paper,6340.69,2453.3,322.29,2131.01
2025-11-11,Europe,Spain,Office Supplies,Premium Paper,9557.33,6040.06,967.39,5072.67
2025-04-26,Europe,Italy,Office Supplies,Printer,7599.51,2940.57,253.66,2686.91
2024-09-03,Europe,Spain,Furniture,Ergonomic Chair,1767.39,706.55,82.94,623.61
2025-10-20,North America,Mexico,Office Supplies,Desk Organizer,6501.49,2957.4,215.56,2741.84
2025-04-13,Europe,United Kingdom,Technology,Laptop Pro,8015.54,3836.62,366.95,3469.68
2024-11-13,South America,Chile,Office Supplies,Printer,847.9,374.21,37.57,336.65
2024-02-18,Asia Pacific,Australia,Technology,Business Tablet,4651.04,1916.18,241.79,1674.39
2025-01-30,Asia Pacific,Japan,Office Supplies,Desk Organizer,3989.8,1847.0,172.9,1674.09
2024-03-25,South America,Brazil,Office Supplies,Office Chair,5682.01,2171.58,193.21,1978.37
2025-11-07,Asia Pacific,Australia,Office Supplies,Desk Organizer,2083.13,872.71,109.07,763.65
2024-12-27,South America,Argentina,Furniture,Executive Desk,1212.89,538.27,58.42,479.85
2025-11-26,North America,United States,Technology,Cloud Server,830.59,314.8,57.25,257.55
2025-01-10,Asia Pacific,Singapore,Furniture,Executive Desk,6248.4,2994.86,483.88,2510.98
2025-01-15,South America,Brazil,Furniture,Conference Table,5529.87,2334.62,345.5,1989.12
2024-09-12,Europe,Germany,Furniture,Conference Table,5240.92,2180.91,304.41,1876.5
2024-09-25,Asia Pacific,Singapore,Technology,Business Tablet,7092.82,3474.09,283.78,3190.31
2024-05-18,Europe,Italy,Technology,Cloud Server,9973.99,4986.55,781.74,4204.8
2024-11-23,Asia Pacific,India,Furniture,Ergonomic Chair,8967.65,4423.69,588.19,3835.5
2025-12-18,North America,Canada,Furniture,Conference Table,1652.94,606.78,61.07,545.71
2025-05-20,Europe,United Kingdom,Furniture,Ergonomic Chair,4940.36,2390.84,180.27,2210.57
2024-03-29,Europe,United Kingdom,Office Supplies,Desk Organizer,5494.11,2673.11,391.0,2282.11
2024-03-16,North America,Canada,Furniture,Executive Desk,4774.76,2145.02,225.49,1919.53
2025-07-18,North America,United States,Office Supplies,Premium Paper,8398.21,3551.78,379.65,3172.13
2024-06-14,Asia Pacific,Japan,Office Supplies,Printer,8536.37,3408.95,527.15,2881.8
2025-07-18,Asia Pacific,Japan,Furniture,Ergonomic Chair,6337.07,2383.14,393.21,1989.93
2025-08-29,North America,United States,Furniture,Ergonomic Chair,8504.04,3876.18,606.01,3270.17
2024-01-30,Europe,Germany,Furniture,Ergonomic Chair,6685.73,3114.7,339.83,2774.87
2025-10-16,Europe,Italy,Furniture,Ergonomic Chair,6598.12,4520.38,820.58,3699.8
2025-04-09,Europe,Germany,Technology,Cloud Server,4448.41,1853.55,209.12,1644.43
2024-05-27,Asia Pacific,Australia,Furniture,Ergonomic Chair,9766.05,3595.29,473.92,3121.38
2025-07-29,Europe,United Kingdom,Technology,Cloud Server,1663.96,673.04,61.64,611.4
2024-02-21,Asia Pacific,Singapore,Furniture,Storage Cabinet,2858.57,1337.19,108.58,1228.6
2024-12-01,Asia Pacific,Japan,Technology,Cloud Server,9961.71,4422.76,736.71,3686.05
2025-05-24,Europe,Germany,Office Supplies,Desk Organizer,9683.52,3678.93,461.37,3217.56
2024-02-21,Asia Pacific,Singapore,Furniture,Storage Cabinet,3214.61,1082.04,113.72,968.33
2024-05-17,Asia Pacific,Australia,Office Supplies,Printer,929.8,340.09,54.01,286.07
2025-01-06,Asia Pacific,India,Office Supplies,Desk Organizer,7761.84,3270.94,616.71,2654.22
2025-11-27,Europe,France,Technology,Cloud Server,4045.38,2529.24,439.55,2089.68
2025-09-08,South America,Chile,Technology,Laptop Pro,869.68,415.04,61.05,353.99
2025-06-15,South America,Brazil,Furniture,Conference Table,3615.68,1555.05,137.85,1417.2
2025-09-23,Asia Pacific,Australia,Furniture,Storage Cabinet,7233.03,3007.18,512.01,2495.17
2025-01-12,Asia Pacific,India,Office Supplies,Printer,8069.17,3818.34,519.67,3298.67
2024-01-28,South America,Argentina,Furniture,Conference Table,7353.3,3132.9,283.29,2849.61
2025-10-06,South America,Brazil,Furniture,Conference Table,799.92,382.14,28.39,353.75
2024-01-20,South America,Argentina,Office Supplies,Office Chair,4423.12,1705.89,243.67,1462.21
2025-09-18,South America,Chile,Furniture,Executive Desk,7204.86,3140.22,418.2,2722.01
2025-11-09,South America,Chile,Office Supplies,Printer,9588.51,4080.93,543.25,3537.68
2025-07-13,Asia Pacific,Australia,Furniture,Storage Cabinet,2326.51,918.7,134.72,783.98
2024-08-18,Asia Pacific,Australia,Furniture,Conference Table,7057.28,3015.86,381.02,2634.84
2025-07-27,Asia Pacific,Australia,Technology,Cloud Server,9009.72,3661.88,425.77,3236.11
2024-05-29,Asia Pacific,India,Office Supplies,Premium Paper,3790.45,1550.97,162.32,1388.66
2025-05-05,North America,United States,Furniture,Ergonomic Chair,9363.73,4132.11,345.18,3786.93
2025-09-22,North America,United States,Technology,Smartphone X,6560.47,2352.18,332.39,2019.8
2025-04-28,Europe,France,Technology,Smartphone X,4365.62,2244.69,322.71,1921.99
2025-05-03,North America,Canada,Office Supplies,Printer,6636.03,3123.34,228.76,2894.57
2025-08-10,North America,Mexico,Furniture,Executive Desk,9175.68,3673.69,680.03,2993.65
2024-06-29,Europe,Italy,Office Supplies,Office Chair,9397.78,4892.69,717.07,4175.62
2024-02-08,Europe,United Kingdom,Furniture,Executive Desk,9320.32,3755.84,491.34,3264.5
2025-10-18,South America,Brazil,Furniture,Storage Cabinet,3091.95,1446.59,143.88,1302.71
2025-04-14,Asia Pacific,Japan,Technology,Business Tablet,8012.29,3629.82,543.75,3086.07
2024-06-28,South America,Argentina,Furniture,Ergonomic Chair,1324.01,582.07,51.95,530.12
2024-05-23,South America,Argentina,Technology,Laptop Pro,2977.46,1199.96,201.54,998.43
2024-12-03,Asia Pacific,India,Office Supplies,Printer,7081.3,2444.68,254.3,2190.38
2024-11-10,North America,Canada,Furniture,Ergonomic Chair,7057.76,3337.18,543.67,2793.51
2025-01-11,North America,United States,Technology,Cloud Server,1955.26,923.76,117.88,805.88
2025-03-01,South America,Chile,Furniture,Conference Table,7737.67,3573.58,462.64,3110.94
2024-03-24,South America,Chile,Furniture,Ergonomic Chair,1241.98,518.79,41.09,477.7
2025-07-14,North America,Mexico,Furniture,Conference Table,2063.1,990.83,107.47,883.36
2025-11-27,North America,Mexico,Furniture,Storage Cabinet,1363.95,609.67,96.07,513.6
2025-04-09,North America,Mexico,Office Supplies,Desk Organizer,5857.16,2620.83,372.74,2248.09
2024-11-11,Europe,Italy,Office Supplies,Premium Paper,7585.14,3178.26,244.73,2933.53
2024-12-18,Europe,Spain,Technology,Laptop Pro,9868.3,4096.97,437.7,3659.27
2024-07-03,North America,Mexico,Furniture,Storage Cabinet,4057.38,1972.4,212.72,1759.69
2025-01-21,South America,Brazil,Furniture,Conference Table,6708.57,2623.65,261.12,2362.53
2025-07-04,South America,Chile,Technology,Smartphone X,8430.81,4150.92,665.4,3485.52
2025-04-19,South America,Chile,Office Supplies,Office Chair,2851.36,1128.3,124.84,1003.46
2024-04-25,Europe,Italy,Furniture,Executive Desk,2786.33,1030.36,166.34,864.02
2025-04-02,Europe,France,Furniture,Executive Desk,4321.52,1624.95,176.59,1448.36
2024-02-27,North America,Mexico,Office Supplies,Office Chair,8249.97,3759.29,379.05,3380.24
2025-09-04,Asia Pacific,Japan,Office Supplies,Office Chair,9864.11,4230.38,499.89,3730.48
2024-10-08,Europe,Spain,Furniture,Conference Table,6446.93,2700.37,353.17,2347.2
2024-12-18,South America,Chile,Office Supplies,Desk Organizer,4378.46,1682.1,171.61,1510.5
2025-07-04,South America,Brazil,Technology,Business Tablet,8646.64,3240.8,459.58,2781.22
2024-02-29,South America,Argentina,Furniture,Conference Table,4189.98,1612.15,194.89,1417.26
2024-03-21,South America,Argentina,Technology,Smartphone X,989.6,412.49,59.62,352.87
2024-02-10,Europe,France,Furniture,Conference Table,5054.24,2411.22,235.77,2175.45
2024-01-16,North America,United States,Furniture,Executive Desk,7595.35,3713.15,575.14,3138.02
2025-12-13,North America,Canada,Technology,Business Tablet,7867.38,3255.38,445.94,2809.44
2025-01-02,Asia Pacific,Australia,Office Supplies,Desk Organizer,4927.04,2397.22,325.78,2071.44
2024-11-23,North America,Canada,Office Supplies,Desk Organizer,934.3,464.04,62.66,401.39
2024-01-17,Asia Pacific,Singapore,Office Supplies,Office Chair,2363.82,928.96,138.26,790.7
2024-09-08,South America,Chile,Furniture,Ergonomic Chair,2944.6,1476.91,230.64,1246.27
2025-10-19,South America,Argentina,Technology,Business Tablet,2108.02,974.88,114.71,860.17
2025-07-09,Europe,Spain,Technology,Laptop Pro,9479.29,4440.57,646.65,3793.92
2025-02-26,North America,Mexico,Technology,Laptop Pro,7218.11,2574.4,399.07,2175.33
2025-01-17,Europe,Spain,Furniture,Storage Cabinet,6763.2,2427.79,382.87,2044.92
2025-02-25,Europe,Germany,Furniture,Ergonomic Chair,5589.51,2225.26,308.04,1917.22
2025-12-15,South America,Brazil,Technology,Laptop Pro,5481.66,2176.96,334.32,1842.63
2024-09-15,Asia Pacific,Australia,Office Supplies,Premium Paper,4043.99,1695.06,235.56,1459.49
2025-12-14,North America,Canada,Furniture,Executive Desk,6710.49,3333.18,456.17,2877.01
2024-04-05,South America,Argentina,Office Supplies,Desk Organizer,1033.09,351.24,39.85,311.39
2025-05-26,South America,Chile,Office Supplies,Premium Paper,9000.52,4314.5,373.42,3941.08
2025-12-09,South America,Argentina,Technology,Laptop Pro,7002.07,2795.28,400.18,2395.1
